trec_topic_number,trec_doc_id,pm_rel_desc,disease_desc,gene1_annotation_desc,gene1_name,gene2_annotation_desc,gene2_name,gene3_annotation_desc,gene3_name,demographics_desc,other_desc
1,NCT01037790,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT01041105,Not PM,,,,,,,,,
1,NCT01079546,Not PM,,,,,,,,,
1,NCT01100840,Not PM,,,,,,,,,
1,NCT01118585,Not PM,,,,,,,,,
1,NCT01134367,Not PM,,,,,,,,,
1,NCT01136499,Not PM,,,,,,,,,
1,NCT01140321,Not PM,,,,,,,,,
1,NCT01141686,Not PM,,,,,,,,,
1,NCT01143740,Not PM,,,,,,,,,
1,NCT01149395,Not PM,,,,,,,,,
1,NCT01154452,Not PM,,,,,,,,,
1,NCT01156168,Not PM,,,,,,,,,
1,NCT01161602,Not PM,,,,,,,,,
1,NCT01168050,Not PM,,,,,,,,,
1,NCT01177839,Not PM,,,,,,,,,
1,NCT01183897,Not PM,,,,,,,,,
1,NCT01193881,Not PM,,,,,,,,,
1,NCT01194635,Not PM,,,,,,,,,
1,NCT01209598,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT01227434,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT01230944,Not PM,,,,,,,,,
1,NCT01237236,Human PM,More General,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT01265550,Not PM,,,,,,,,,
1,NCT01303094,Not PM,,,,,,,,,
1,NCT01343277,Not PM,,,,,,,,,
1,NCT01356628,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT01360931,Not PM,,,,,,,,,
1,NCT01366560,Not PM,,,,,,,,,
1,NCT01373125,Not PM,,,,,,,,,
1,NCT01374074,Not PM,,,,,,,,,
1,NCT01426633,Not PM,,,,,,,,,
1,NCT01427582,Not PM,,,,,,,,,
1,NCT01432392,Not PM,,,,,,,,,
1,NCT01457846,Not PM,,,,,,,,,
1,NCT01472016,Not PM,,,,,,,,,
1,NCT01477021,Not PM,,,,,,,,,
1,NCT01480518,Not PM,,,,,,,,,
1,NCT01504360,Not PM,,,,,,,,,
1,NCT01506596,Not PM,,,,,,,,,
1,NCT01522989,Human PM,More General,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT01523340,Not PM,,,,,,,,,
1,NCT01536080,Not PM,,,,,,,,,
1,NCT01537744,Not PM,,,,,,,,,
1,NCT01548144,Not PM,,,,,,,,,
1,NCT01600092,Not PM,,,,,,,,,
1,NCT01613313,Not PM,,,,,,,,,
1,NCT01613950,Not PM,,,,,,,,,
1,NCT01653028,Not PM,,,,,,,,,
1,NCT01684215,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT01692496,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT01692678,Not PM,,,,,,,,,
1,NCT01723020,Not PM,,,,,,,,,
1,NCT01723774,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Excludes,Not Discussed
1,NCT01740427,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Excludes,Not Discussed
1,NCT01775943,Not PM,,,,,,,,,
1,NCT01791387,Not PM,,,,,,,,,
1,NCT01831726,Not PM,,,,,,,,,
1,NCT01841047,Not PM,,,,,,,,,
1,NCT01855503,Not PM,,,,,,,,,
1,NCT01861301,Not PM,,,,,,,,,
1,NCT01864746,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Excludes,Not Discussed
1,NCT01869400,Not PM,,,,,,,,,
1,NCT01872897,Not PM,,,,,,,,,
1,NCT01876043,Not PM,,,,,,,,,
1,NCT01877317,Not PM,,,,,,,,,
1,NCT01878448,Not PM,,,,,,,,,
1,NCT01900522,Not PM,,,,,,,,,
1,NCT01907607,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT01913652,Not PM,,,,,,,,,
1,NCT01932229,Not PM,,,,,,,,,
1,NCT01945775,Not PM,,,,,,,,,
1,NCT01957709,Not PM,,,,,,,,,
1,NCT01976169,Not PM,,,,,,,,,
1,NCT01986595,Not PM,,,,,,,,,
1,NCT02002416,Not PM,,,,,,,,,
1,NCT02016820,Not PM,,,,,,,,,
1,NCT02022982,Human PM,More General,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02023216,Not PM,,,,,,,,,
1,NCT02040857,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02046304,Not PM,,,,,,,,,
1,NCT02048371,Not PM,,,,,,,,,
1,NCT02049723,Not PM,,,,,,,,,
1,NCT02052778,Not PM,,,,,,,,,
1,NCT02059850,Not PM,,,,,,,,,
1,NCT02065063,Human PM,More General,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02066675,Not PM,,,,,,,,,
1,NCT02106312,Not PM,,,,,,,,,
1,NCT02131480,Not PM,,,,,,,,,
1,NCT02149914,Not PM,,,,,,,,,
1,NCT02154490,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02163720,Not PM,,,,,,,,,
1,NCT02180867,Not PM,,,,,,,,,
1,NCT02186821,Not PM,,,,,,,,,
1,NCT02187783,Human PM,More General,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02192541,Not PM,,,,,,,,,
1,NCT02247544,Not PM,,,,,,,,,
1,NCT02249052,Not PM,,,,,,,,,
1,NCT02249702,Not PM,,,,,,,,,
1,NCT02249949,Not PM,,,,,,,,,
1,NCT02267083,Not PM,,,,,,,,,
1,NCT02275286,Not PM,,,,,,,,,
1,NCT02277886,Not PM,,,,,,,,,
1,NCT02292550,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02308020,Not PM,,,,,,,,,
1,NCT02310243,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02314481,Not PM,,,,,,,,,
1,NCT02334527,Not PM,,,,,,,,,
1,NCT02342587,Not PM,,,,,,,,,
1,NCT02343172,Not PM,,,,,,,,,
1,NCT02343406,Not PM,,,,,,,,,
1,NCT02345824,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02367924,Not PM,,,,,,,,,
1,NCT02371174,Not PM,,,,,,,,,
1,NCT02376166,Not PM,,,,,,,,,
1,NCT02387125,Not PM,,,,,,,,,
1,NCT02401035,Not PM,,,,,,,,,
1,NCT02407080,Not PM,,,,,,,,,
1,NCT02414724,Human PM,More General,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02418234,Human PM,More General,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02425553,Not PM,,,,,,,,,
1,NCT02429089,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02449551,Not PM,,,,,,,,,
1,NCT02450136,Not PM,,,,,,,,,
1,NCT02457429,Not PM,,,,,,,,,
1,NCT02461849,Not PM,,,,,,,,,
1,NCT02475720,Not PM,,,,,,,,,
1,NCT02486263,Not PM,,,,,,,,,
1,NCT02499146,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Excludes,Not Discussed
1,NCT02499614,Not PM,,,,,,,,,
1,NCT02506634,Not PM,,,,,,,,,
1,NCT02508467,Not PM,,,,,,,,,
1,NCT02514616,Not PM,,,,,,,,,
1,NCT02530320,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02542462,Not PM,,,,,,,,,
1,NCT02571829,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02573324,Not PM,,,,,,,,,
1,NCT02584751,Not PM,,,,,,,,,
1,NCT02587169,Not PM,,,,,,,,,
1,NCT02599714,Not PM,,,,,,,,,
1,NCT02606461,Not PM,,,,,,,,,
1,NCT02606851,Not PM,,,,,,,,,
1,NCT02609984,Not PM,,,,,,,,,
1,NCT02625168,Not PM,,,,,,,,,
1,NCT02626364,Not PM,,,,,,,,,
1,NCT02632045,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02637557,Not PM,,,,,,,,,
1,NCT02637713,Not PM,,,,,,,,,
1,NCT02644122,Not PM,,,,,,,,,
1,NCT02645149,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02688907,Not PM,,,,,,,,,
1,NCT02693535,Human PM,More General,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02695186,Not PM,,,,,,,,,
1,NCT02706691,Not PM,,,,,,,,,
1,NCT02759094,Not PM,,,,,,,,,
1,NCT02777567,Not PM,,,,,,,,,
1,NCT02784795,Not PM,,,,,,,,,
1,NCT02785939,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02790320,Not PM,,,,,,,,,
1,NCT02790944,Not PM,,,,,,,,,
1,NCT02803619,Not PM,,,,,,,,,
1,NCT02804815,Not PM,,,,,,,,,
1,NCT02806648,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02812693,Not PM,,,,,,,,,
1,NCT02815995,Not PM,,,,,,,,,
1,NCT02821507,Not PM,,,,,,,,,
1,NCT02825342,Not PM,,,,,,,,,
1,NCT02831530,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Excludes,Not Discussed
1,NCT02837627,Not PM,,,,,,,,,
1,NCT02846987,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02863146,Not PM,,,,,,,,,
1,NCT02871791,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02873975,Not PM,,,,,,,,,
1,NCT02896335,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02897375,Human PM,More General,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02905318,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02917005,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Excludes,Not Discussed
1,NCT02919696,Human PM,More General,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02923778,Not PM,,,,,,,,,
1,NCT02947685,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02949843,Not PM,,,,,,,,,
1,NCT02978859,Not PM,,,,,,,,,
1,NCT02981940,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT02983539,Not PM,,,,,,,,,
1,NCT02992743,Not PM,,,,,,,,,
1,NCT02998606,Not PM,,,,,,,,,
1,NCT03017768,Not PM,,,,,,,,,
1,NCT03024489,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT03031288,Not PM,,,,,,,,,
1,NCT03034252,Not PM,,,,,,,,,
1,NCT03050398,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT03064243,Not PM,,,,,,,,,
1,NCT03065062,Human PM,More General,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT03074318,Not PM,,,,,,,,,
1,NCT03092934,Not PM,,,,,,,,,
1,NCT03096912,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT03099174,Not PM,,,,,,,,,
1,NCT03104335,Not PM,,,,,,,,,
1,NCT03106155,Not PM,,,,,,,,,
2,NCT00002455,Not PM,,,,,,,,,
2,NCT00002525,Not PM,,,,,,,,,
2,NCT00002575,Not PM,,,,,,,,,
2,NCT00002692,Not PM,,,,,,,,,
2,NCT00002893,Not PM,,,,,,,,,
2,NCT00003001,Not PM,,,,,,,,,
2,NCT00003329,Human PM,More General,Missing Gene,BRAF (V600E),Missing Gene,KRAS (G13D),,,Matches,Not Discussed
2,NCT00003365,Not PM,,,,,,,,,
2,NCT00003557,Not PM,,,,,,,,,
2,NCT00003571,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Gene,KRAS (G13D),,,Matches,Not Discussed
2,NCT00003626,Not PM,,,,,,,,,
2,NCT00003648,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Gene,KRAS (G13D),,,Matches,Not Discussed
2,NCT00003677,Not PM,,,,,,,,,
2,NCT00003914,Not PM,,,,,,,,,
2,NCT00004210,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Gene,KRAS (G13D),,,Matches,Not Discussed
2,NCT00006103,Human PM,Exact,Missing Gene,BRAF (V600E),Exact,KRAS (G13D),,,Matches,Not Discussed
2,NCT00006112,Not PM,,,,,,,,,
2,NCT00007618,Not PM,,,,,,,,,
2,NCT00014079,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Gene,KRAS (G13D),,,Matches,Not Discussed
2,NCT00019760,Not PM,,,,,,,,,
2,NCT00019786,Not PM,,,,,,,,,
2,NCT00026273,Not PM,,,,,,,,,
2,NCT00032344,Not PM,,,,,,,,,
2,NCT00046995,Not PM,,,,,,,,,
2,NCT00054912,Not PM,,,,,,,,,
2,NCT00055848,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Gene,KRAS (G13D),,,Matches,Not Discussed
2,NCT00060918,Not PM,,,,,,,,,
2,NCT00069121,Not PM,,,,,,,,,
2,NCT00070213,Not PM,,,,,,,,,
2,NCT00079274,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Not Discussed
2,NCT00111761,Not PM,,,,,,,,,
2,NCT00114829,Not PM,,,,,,,,,
2,NCT00115765,Not PM,,,,,,,,,
2,NCT00122187,Not PM,,,,,,,,,
2,NCT00134069,Human PM,Exact,Missing Variant,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Not Discussed
2,NCT00143715,Not PM,,,,,,,,,
2,NCT00157729,Not PM,,,,,,,,,
2,NCT00171119,Not PM,,,,,,,,,
2,NCT00172757,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Gene,KRAS (G13D),,,Matches,Matches
2,NCT00173472,Not PM,,,,,,,,,
2,NCT00173667,Not PM,,,,,,,,,
2,NCT00195585,Not PM,,,,,,,,,
2,NCT00202618,Not PM,,,,,,,,,
2,NCT00212303,Not PM,,,,,,,,,
2,NCT00215982,Not PM,,,,,,,,,
2,NCT00217711,Not PM,,,,,,,,,
2,NCT00225238,Not PM,,,,,,,,,
2,NCT00241085,Not PM,,,,,,,,,
2,NCT00249977,Not PM,,,,,,,,,
2,NCT00252525,Not PM,,,,,,,,,
2,NCT00256334,Not PM,,,,,,,,,
2,NCT00257322,Not PM,,,,,,,,,
2,NCT00265850,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Not Discussed
2,NCT00309751,Not PM,,,,,,,,,
2,NCT00326495,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Excludes
2,NCT00336232,Not PM,,,,,,,,,
2,NCT00351572,Not PM,,,,,,,,,
2,NCT00354705,Not PM,,,,,,,,,
2,NCT00363038,Not PM,,,,,,,,,
2,NCT00376181,Not PM,,,,,,,,,
2,NCT00385970,Not PM,,,,,,,,,
2,NCT00387842,Not PM,,,,,,,,,
2,NCT00397384,Not PM,,,,,,,,,
2,NCT00399750,Not PM,,,,,,,,,
2,NCT00405587,Human PM,More General,Exact,BRAF (V600E),Missing Gene,KRAS (G13D),,,Matches,Matches
2,NCT00407680,Not PM,,,,,,,,,
2,NCT00410618,Not PM,,,,,,,,,
2,NCT00411112,Not PM,,,,,,,,,
2,NCT00418938,Human PM,More General,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00427089,Not PM,,,,,,,,,
2,NCT00427570,Not PM,,,,,,,,,
2,NCT00436215,Not PM,,,,,,,,,
2,NCT00444678,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00450424,Not PM,,,,,,,,,
2,NCT00470782,Not PM,,,,,,,,,
2,NCT00494611,Not PM,,,,,,,,,
2,NCT00496704,Not PM,,,,,,,,,
2,NCT00497666,Not PM,,,,,,,,,
2,NCT00516230,Not PM,,,,,,,,,
2,NCT00549133,Not PM,,,,,,,,,
2,NCT00550628,Human PM,Exact,Missing Gene,BRAF (V600E),Different Variant,KRAS (G13D),,,Matches,Excludes
2,NCT00551421,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00553332,Human PM,Not Disease,Missing Variant,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00564694,Not PM,,,,,,,,,
2,NCT00565708,Not PM,,,,,,,,,
2,NCT00572143,Not PM,,,,,,,,,
2,NCT00598975,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00604162,Not PM,,,,,,,,,
2,NCT00625573,Not PM,,,,,,,,,
2,NCT00631917,Not PM,,,,,,,,,
2,NCT00637091,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00640471,Human PM,Exact,Missing Variant,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00651677,Not PM,,,,,,,,,
2,NCT00654342,Not PM,,,,,,,,,
2,NCT00655499,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00660582,Human PM,Exact,Missing Gene,BRAF (V600E),Different Variant,KRAS (G13D),,,Matches,Matches
2,NCT00671996,Not PM,,,,,,,,,
2,NCT00675636,Not PM,,,,,,,,,
2,NCT00695461,Not PM,,,,,,,,,
2,NCT00695474,Not PM,,,,,,,,,
2,NCT00696345,Not PM,,,,,,,,,
2,NCT00717223,Not PM,,,,,,,,,
2,NCT00737152,Not PM,,,,,,,,,
2,NCT00744159,Not PM,,,,,,,,,
2,NCT00755534,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00760110,Not PM,,,,,,,,,
2,NCT00778830,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00813605,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00819780,Human PM,More General,Missing Variant,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00826540,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00826579,Not PM,,,,,,,,,
2,NCT00827684,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00842257,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00853931,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00856375,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00858403,Not PM,,,,,,,,,
2,NCT00860691,Not PM,,,,,,,,,
2,NCT00861627,Human PM,Not Disease,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Excludes,Matches
2,NCT00866177,Human PM,Not Disease,Missing Variant,BRAF (V600E),Missing Gene,KRAS (G13D),,,Excludes,Matches
2,NCT00879385,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00880321,Human PM,More General,Missing Variant,BRAF (V600E),Missing Gene,KRAS (G13D),,,Matches,Matches
2,NCT00888134,Human PM,More General,Exact,BRAF (V600E),Missing Gene,KRAS (G13D),,,Matches,Matches
2,NCT00890591,Not PM,,,,,,,,,
2,NCT00896753,Not PM,,,,,,,,,
2,NCT00897429,Human PM,Exact,Missing Variant,BRAF (V600E),Missing Gene,KRAS (G13D),,,Matches,Matches
2,NCT00898781,Not PM,,,,,,,,,
2,NCT00900432,Not PM,,,,,,,,,
2,NCT00918827,Not PM,,,,,,,,,
2,NCT00931437,Not PM,,,,,,,,,
2,NCT00940316,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00942266,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00942461,Not PM,,,,,,,,,
2,NCT00952874,Not PM,,,,,,,,,
2,NCT00954876,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00959127,Human PM,More General,Missing Variant,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00963352,Not PM,,,,,,,,,
2,NCT00974389,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00975897,Human PM,Exact,Missing Variant,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Matches
2,NCT00984750,Not PM,,,,,,,,,
2,NCT01001962,Not PM,,,,,,,,,
2,NCT01011478,Not PM,,,,,,,,,
